date,category,description,amount
2026-06-01,Income,Paycheck,3250.00
2026-06-01,Rent,June rent,-1800.00
2026-06-03,Groceries,Trader Joe's,-84.32
2026-06-07,Dining,Takeout,-42.10
2026-06-10,Utilities,Electric bill,-95.00
2026-06-12,Transportation,Gas,-55.00
2026-06-15,Income,Paycheck,3250.00
2026-06-15,Subscriptions,Streaming services,-45.00
2026-06-18,Shopping,New shoes,-120.00
2026-06-20,Groceries,Costco run,-160.75
2026-06-25,Entertainment,Movie night,-38.00
2026-06-28,Savings,Transfer to brokerage,-1500.00
2026-07-01,Income,Paycheck,3250.00
2026-07-01,Rent,July rent,-1800.00
2026-07-04,Groceries,Trader Joe's,-91.20
2026-07-06,Dining,Dinner out,-65.50
2026-07-10,Utilities,Electric bill,-102.00
2026-07-12,Transportation,Gas,-58.00
2026-07-15,Income,Paycheck,3250.00
2026-07-15,Subscriptions,Streaming services,-45.00
2026-07-19,Shopping,Groceries run,-140.00
2026-07-22,Entertainment,Concert tickets,-90.00
2026-07-28,Savings,Transfer to brokerage,-1500.00
2026-08-01,Income,Paycheck,3250.00
2026-08-01,Rent,August rent,-1800.00
2026-08-03,Groceries,Trader Joe's,-88.40
2026-08-05,Dining,Takeout,-36.75
